150,69,1301=@f1.loot@500#
-392,77,1220=@f3.loot@250#
-187,167,-3619=@m1.loot@600#
-699,66,778=@npchest4.loot@300#
-1599,73,1316=@m2.loot@400#
-160,69,974=@f2.loot@300#
-1205,85,149=@m4.loot@600#
781,82,1094=@f6.loot@400#
-523,66,1254=@f2.loot@600#
192,58,1011=@f2.loot@300#
-644,57,1009=@npchest6.loot@450#
-895,65,885=@npchest1.loot@300#
-748,58,740=@npchest4.loot@400#
-1251,121,1070=@m4.loot@900#
-1443,127,1098=@m3.loot@300#
-894,72,-60=@m4.loot@500#
-1489,93,-103=@m3.loot@500#
-967,68,761=@npchest4.loot@400#
-971,51,331=@m1.loot@500#
-805,61,668=@npchest9.loot@800#
-971,68,764=@npchest5.loot@400#
-74,96,1271=@f4.loot@300#
-642,67,1255=@f4.loot@200#
-603,66,1397=@f3.loot@500#
-1443,88,164=@m3.loot@500#
-347,135,999=@f6.loot@500#
-726,61,1255=@f4.loot@500#
-110,20,-3487=@m2.loot@500#
-885,88,-26=@f3.loot@499#
-123,155,-3326=@m3.loot@500#
-1453,63,1265=@m1.loot@300#
-1491,93,-38=@m2.loot@400#
-958,64,711=@npchest4.loot@200#
-1238,85,157=@m4.loot@600#
-1258,58,1010=@m1.loot@500#
824,80,996=@f3.loot@400#
-929,87,86=@m3.loot@500#
-789,61,1157=@npchest3.loot@300#
981,172,940=@m5.loot@400#
-683,68,1307=@f6.loot@400#
-982,61,857=@npchest7.loot@880#
-1123,59,657=@f7.loot@1000#
-425,58,1287=@f4.loot@300#
-1341,131,930=@m1.loot@1000#
-1138,78,1365=@m3.loot@1000#
636,97,830=@f4.loot@500#
602,106,753=@f3.loot@400#
-149,186,-3453=@m3.loot@600#
-762,70,239=@npchest6.loot@300#
-978,61,753=@npchest10.loot@500#
420,77,1079=@npchest7.loot@500#
-874,23,-218=@m1.loot@500#
241,30,-3540=@m4.loot@300#
283,20,-3394=@m5.loot@500#
-869,56,776=@npchest11.loot@400#
-1443,36,1134=@m3.loot@400#
69,16,-3398=@m1.loot@500#
-877,62,694=@npchest4.loot@800#
-1561,88,405=@f2.loot@180#
-1524,51,1080=@m4.loot@500#
-179,144,-3612=@m2.loot@500#
-877,98,29=@f6.loot@300#
-1655,51,1007=@m1.loot@1000#
-1481,61,600=@f7.loot@400#
-724,62,825=@npchest8.loot@300#
-1228,114,1132=@m4.loot@900#
577,100,793=@m3.loot@500#
-1063,69,1035=@f6.loot@300#
-534,89,1368=@f1.loot@500#
-309,91,1000=@f1.loot@100#
-1433,41,1152=@m1.loot@1000#
-275,58,-160=@m4.loot@500#
-966,61,907=@npchest2.loot@800#
-887,79,-43=@m3.loot@600#
-291,70,1039=@f5.loot@400#
-1554,78,990=@m1.loot@1000#
-217,10,-481=@m3.loot@500#
-1140,86,427=@npchest1.loot@240#
-1464,63,1277=@m3.loot@400#
-1273,120,850=@m1.loot@1000#
-904,60,720=@npchest1.loot@900#
-96,105,1256=@f2.loot@300#
-83,47,1112=@f2.loot@400#
-1494,47,1083=@f7.loot@300#
-266,67,-171=@m4.loot@500#
-1413,54,1020=@m4.loot@300#
-1304,127,1155=@m1.loot@1000#
-912,88,96=@f4.loot@500#
-675,65,709=@npchest9.loot@500#
-146,174,-3437=@m3.loot@500#
-1429,51,1094=@m1.loot@400#
941,111,806=@f4.loot@400#
-527,45,15=@m3.loot@500#
715,82,1384=@m3.loot@500#
-1444,134,1174=@m3.loot@300#
-1378,64,685=@f7.loot@400#
-211,65,1019=@f7.loot@400#
-795,61,662=@npchest6.loot@400#
-150,37,-335=@m3.loot@500#
-1087,86,242=@f3.loot@500#
985,100,1213=@f3.loot@400#
-1515,139,885=@m1.loot@1000#
-1505,59,614=@f3.loot@250#
-1482,73,1279=@m3.loot@400#
118,84,-3522=@m2.loot@500#
-799,73,1206=@f2.loot@350#
-36,37,-250=@m3.loot@500#
-436,22,-3511=@m5.loot@500#
-688,86,1331=@f3.loot@300#
964,151,609=@m3.loot@500#
-785,63,1032=@npchest12.loot@900#
-458,61,1390=@f6.loot@600#
-678,43,111=@npchest5.loot@400#
-712,63,786=@npchest5.loot@700#
-1472,64,1263=@m3.loot@400#
228,57,1313=@f4.loot@300#
654,68,1388=@f5.loot@400#
