74,48,-553=3
-1055,84,-6=4
113,44,807=3
-242,30,-192=4
134,44,812=3
-37,98,-3199=5
82,98,-3272=4
-371,30,-199=3
-431,40,-116=3
-1428,74,-415=3
135,44,866=2
868,30,-236=1
1129,120,731=3
-1560,76,-561=4
-1357,74,-518=4
-903,64,714=1
-152,67,508=1
-1263,85,146=4
1081,121,661=5
-361,30,-87=2
-117,67,530=1
-1371,74,-361=4
-345,55,1306=2
-131,30,-227=3
-769,60,648=1
-568,156,-796=5
56,98,-3268=5
-276,30,-196=4
-421,40,-119=3
331,30,-579=3
-536,40,-17=2
93,98,-3272=5
-803,55,742=1
-234,30,-141=4
36,48,-566=3
-1289,74,-342=4
-904,64,713=1
-263,54,1327=2
1122,120,762=3
-1069,84,184=4
-360,61,1136=2
-65,33,-273=3
-640,57,540=1
-451,50,-582=3
857,30,-223=1
-233,30,-172=4
-625,40,-79=3
-679,57,510=1
-1616,64,848=2
-751,60,654=1
-511,63,455=1
617,68,1002=2
-826,55,742=1
-1522,92,-18=4
-53,98,-3227=4
-450,40,-97=3
-336,30,-173=2
-330,54,1289=2
57,44,862=2
-1181,60,587=2
-14,98,-3255=4
17,45,997=2
-31,98,-3234=4
84,44,816=3
-963,94,-671=3
-442,40,-98=3
-636,40,0=2
-187,30,-304=4
-949,57,1249=1
-301,30,-221=3
-140,67,532=1
-340,55,1293=2
74,98,-3239=5
-511,50,-476=3
-817,55,739=1
74,44,828=2
-1378,61,599=2
-300,30,-219=3
85,98,-3250=5
18,4,-3439=5
237,30,-420=3
9,4,-3446=5
17,4,-3447=5
-95,31,-296=3
277,30,-495=3
-1318,74,-529=3
21,98,-3267=4
-216,30,-157=4
-163,45,1127=2
-1506,60,670=2
-359,30,-149=3
-876,58,764=1
-166,45,1223=2
-85,30,-198=3
-329,55,1288=2
-736,63,791=1
-782,60,664=1
-348,67,948=1
-524,63,420=1
-690,58,991=1
1104,120,737=3
-654,40,97=2
-514,63,444=1
-724,40,-57=2
-339,30,-174=3
-605,40,-112=3
-730,40,27=2
-401,31,-210=3
137,44,865=2
-672,40,57=2
-671,40,-98=2
-247,54,1313=2
-1262,85,165=4
-151,30,-163=3
-598,12,-317=5
-906,64,724=1
74,131,83=1
-341,67,938=1
641,68,972=2
100,44,938=2
-497,186,-820=5
-1228,60,606=2
6,98,-3257=4
-47,98,-3199=4
-935,111,-447=3
-755,60,652=1
-441,40,-190=3
-528,59,1340=2
-1544,63,631=2
-1013,111,-446=3
-511,63,436=1
-965,111,-453=5
-83,67,502=1
28,98,-3204=5
-981,132,-83=4
-344,30,-183=4
-1254,60,584=2
-566,50,-451=3
91,44,808=3
166,107,-652=3
-645,57,537=1
-1556,65,620=2
845,40,-109=1
-651,40,104=2
-777,60,649=1
-651,40,-70=3

